Group.Num,Day,Time,Location,Group Members
1,1,1000,1,R E
2,1,1000,2,D B I
3,1,1000,7,F H
4,1,1000,10,S T
5,1,1115,1,R E
6,1,1115,2,B A I L
7,1,1115,4,M N
8,1,1115,7,F H K
9,1,1115,8,J W
10,1,1115,12,S V
11,1,1230,1,R E
12,1,1230,2,A B D I
13,1,1230,4,M N X
14,1,1230,7,H C F K L
15,1,1300,1,R E
16,1,1300,2,A B I D
17,1,1300,4,M O
18,1,1300,6,W Q
19,1,1300,7,W X F H
20,1,1430,1,R E Q X 
21,1,1430,2,A B I
22,1,1430,4,M N W
23,1,1430,7,L F C
24,1,1530,1,R E 
25,1,1530,2,A W 
26,1,1530,7,C H B X
27,1,1530,8,K L
28,1,1630,2,D I 
29,1,1630,7,B H X
30,1,1630,11,C N
31,1,1730,2,A T 
32,1,1730,7,L M
33,1,1800,4,E J L U
34,1,1800,10,B F
35,2,1000,1,T W
36,2,1000,2,A S V 
37,2,1000,4,C J
38,2,1000,6,B R
39,2,1000,7,H O
40,2,1000,8,K L
41,2,1000,11,X F Q M U
42,2,1115,2,A S V 
43,2,1115,4,C J
44,2,1115,6,N R
45,2,1115,7,T H 
46,2,1115,7,H O
47,2,1115,8,K L
48,2,1115,11,X F Q M U
49,2,1230,2,A S V 
50,2,1230,4,C J
51,2,1230,6,N R
52,2,1230,8,K L
53,2,1230,11,F M U X 
54,2,1230,11,Q T
55,2,1330,2,A S V 
56,2,1330,4,C J 
57,2,1330,6,N R
58,2,1330,8,D K L
59,2,1330,11,F M U X 
60,2,1330,11,Q T 
61,2,1430,2,A S V 
62,2,1430,4,C J
63,2,1430,6,N R
64,2,1430,8,D K L
65,2,1430,11,F M U X 
66,2,1430,11,Q T
67,2,1530,2,A S V 
68,2,1530,4,C J
69,2,1530,6,N R
70,2,1530,8,D K L
71,2,1530,11,F M U X 
72,2,1630,2,A S V 
73,2,1630,4,C J
74,2,1630,7,H I O
75,2,1630,8,D L
76,2,1630,12,P T
77,2,1730,2,A S
78,2,1730,4,C J 
79,2,1730,7,H I O U
80,2,1730,8,D L Q
81,2,1730,10,B G
82,2,1800,2,A S V 
83,2,1800,4,C J
84,2,1800,7,O U H I
85,2,1800,8,D L Q
86,2,1800,10,B G
87,3,1000,2,A S
88,3,1000,4,C E Q
89,3,1000,7,O H
90,3,1000,8,D L N R
91,3,1000,10,B F K
92,3,1000,12,M P V
93,3,1115,2,A S
94,3,1115,4,C E Q
95,3,1115,7,H O
96,3,1115,8,D L N R
97,3,1115,10,B F K
98,3,1115,12,M P V
99,3,1230,2,A S
100,3,1230,4,C E Q
101,3,1230,7,H O
102,3,1230,8,D L N R
103,3,1230,10,B F K
104,3,1230,12,M P V
105,3,1330,2,A S
106,3,1330,6,Q T
107,3,1330,7,H O
108,3,1330,8,L D
109,3,1330,8,L N R
110,3,1330,10,B F G K
111,3,1330,12,M P V
112,3,1430,2,A S
113,3,1430,4,C J
114,3,1430,6,Q T
115,3,1430,7,I O
116,3,1430,8,N D
117,3,1430,10,B F G K
118,3,1430,12,P V
119,3,1530,2,A S
120,3,1530,7,C I R
121,3,1530,7,I O
122,3,1530,7,O H
123,3,1530,8,D T
124,3,1530,9,B L
125,3,1530,12,E M P
126,3,1630,4,J N
127,3,1630,7,G H
128,3,1630,12,M E
129,3,1730,2,A S
130,3,1730,11,C L
131,3,1730,12,M P
132,3,1800,7,G H I
133,3,1800,7,P U
134,3,1800,11,C L
135,3,1800,12,A E T
136,4,1000,2,O Q S
137,4,1000,7,G H I 
138,4,1000,10,R U V
139,4,1000,11,C F 
140,4,1000,12,E T 
141,4,1115,2,E G
142,4,1115,7,G H I 
143,4,1115,10,R U V
144,4,1115,11,F L
145,4,1115,12,E T 
146,4,1230,2,Q S
147,4,1230,7,G H I
148,4,1230,10,R U V
149,4,1230,11,C F 
150,4,1230,12,M E
151,4,1330,2,Q S
152,4,1330,7,S T
153,4,1330,7,F I
154,4,1330,8,D L
155,4,1330,10,R V
156,4,1330,12,M T
157,4,1330,12,A E
158,4,1430,2,E G
159,4,1430,2,F O
160,4,1430,4,J W
161,4,1430,7,G H I
162,4,1430,8,D L
163,4,1430,10,U V
164,4,1430,12,A E R
165,4,1530,4,J W
166,4,1530,7,G H I L
167,4,1530,12,M T
168,4,1530,12,A E
169,4,1630,4,J W
170,4,1630,7,G H I
171,4,1630,8,D F
172,4,1630,12,A M T
173,4,1730,7,G H I
174,4,1730,9,B K
175,4,1800,4,F W
176,4,1800,7,G H I L
177,4,1800,9,B K V
178,4,1800,12,E A
179,5,1000,2,Q V
180,5,1000,4,F J
181,5,1000,4,S W
182,5,1000,7,G H L
183,5,1000,7,L O
184,5,1000,9,B K R
185,5,1000,11,A C
186,5,1115,4,S J 
187,5,1115,7,G H
188,5,1115,8,D X
189,5,1115,9,K R
190,5,1115,11,A C
191,5,1230,1,M X
192,5,1230,6,P T
193,5,1230,7,G H I
194,5,1230,9,K R
195,5,1230,12,D E
196,5,1330,7,G H I S W
197,5,1330,9,K R
198,5,1330,12,E M
199,5,1430,7,G I
200,5,1430,9,K R
201,5,1430,11,A C
202,5,1430,12,D E
203,5,1530,6,A K E
204,5,1630,4,J U
205,5,1630,6,B E
206,5,1630,7,F I
207,5,1630,10,C G
208,5,1730,4,F J 
209,5,1730,6,B E
210,5,1730,7,I K
211,5,1800,7,I K
212,5,1800,12,L O
213,6,1000,4,F Q
214,6,1000,6,B E
215,6,1000,6,X H T
216,6,1000,7,I K
217,6,1000,12,L V
218,6,1000,12,A O
219,6,1115,6,E P
220,6,1115,6,H T
221,6,1115,7,I K
222,6,1115,10,C G
223,6,1115,12,A V
224,6,1230,6,E H
225,6,1230,10,C G
226,6,1330,1,V W
227,6,1330,6,H T
228,6,1430,6,H T
229,6,1430,12,C E Q
230,6,1530,4,C L 
231,6,1530,12,A K
232,6,1630,6,H N P
233,6,1630,7,B W
234,6,1730,4,J O
235,6,1730,6,L N
236,6,1730,7,B W
237,6,1730,7,I X
238,6,1730,10,F U
